id,first_name,last_name,smoker,race,county,num_children,income,complications,age_group,ssn
38,Blair,Cervantes,true,race3,county1,3,211964,6,group1,785-69-3238
39,Margaux,Cannon,,race3,county1,5,52994,9,group2,114-82-3383
40,Melita,Watson,true,race2,county4,5,52943,2,group2,467-20-9432
41,Shelia,Owen,false,race2,county2,2,155705,1,group2,294-87-9348
42,Stavro,Quinn,false,race1,county4,4,21197,1,group1,512-54-1238
43,Wandie,Elliott,true,race2,county1,1,242668,4,group1,665-87-2467
44,Sarina,Scott,true,race1,county3,3,142894,5,group1,295-98-4371
45,Michele,Hoffman,false,race2,county3,5,109882,10,group1,183-06-4409
46,Gerrie,Elliott,false,race3,county1,3,167791,6,group2,276-20-0802
47,Lamont,Quinn,false,race1,county2,5,270373,9,group1,328-19-0466
48,Teriann,Owen,true,race1,county3,0,65127,3,group2,844-31-9800
49,Brigg,Cannon,true,,county1,0,75330,10,group1,
50,Jillie,Elliott,false,race2,county2,3,203076,10,group3,708-54-6929
51,Bevin,Hoffman,false,race1,county1,1,28103,4,group2,198-91-3629
52,Devina,Watson,true,race2,county2,4,145768,10,group2,516-95-3538
53,Malissia,Hawkins,false,race2,county3,3,112443,7,group3,454-88-4740
54,Caprice,Hawkins,false,race1,county4,5,248606,4,group3,200-27-2695
55,Sander,Lawson,false,,county3,5,102775,3,group2,
56,Thaddeus,Waters,false,race3,county1,3,115166,0,group2,673-59-8982
57,Kilian,Scott,false,,county1,2,13872,10,group3,790-13-6105
58,Gianina,Cervantes,true,race2,county4,0,62332,3,group1,355-72-6526
59,Jacky,Elliott,false,,county3,0,222949,4,group2,
60,Marice,Hale,false,,county2,0,13273,8,group1,
61,Risa,Watson,false,race2,county1,2,158621,9,group3,111-96-7618
62,Nerti,Lawson,false,race3,county1,5,29213,2,group3,212-93-2763
63,Man,Frank,true,race1,county2,5,256220,6,group2,482-56-3546
64,Karalee,Elliott,false,race1,county1,3,206369,1,group2,147-21-1023
65,Ranna,Wilkerson,false,race3,county1,3,58714,2,group1,556-08-2018
66,Mick,Ward,true,race1,county2,1,287933,6,group2,653-07-5182
67,Vinnie,Hawkins,false,race3,county1,5,182187,5,group1,187-22-4656
68,Haroun,Watson,false,race2,county2,2,226934,0,group2,711-06-2571
69,Winni,Casey,true,,county4,3,246923,9,group3,
70,Rourke,Brooks,false,race2,county2,3,225084,0,group2,231-67-3421
71,Darrel,Wilkerson,true,race3,county1,0,45282,9,group1,478-83-6291
72,Izaak,Frank,true,race3,county1,4,253916,5,group1,412-25-0556
73,Leyla,Quinn,false,race2,county4,2,254265,8,group2,742-82-7874
74,Isidor,Cannon,true,race2,county4,1,241911,1,group1,212-21-5077
75,Zora,Kirk,true,race1,county2,1,273174,1,group2,868-27-9676
76,Trisha,Hale,false,race3,county1,1,116518,7,group3,286-17-2765
77,Ronnie,Owen,false,race2,county1,3,198916,0,group2,254-54-0996
78,Rowe,Quinn,false,race2,county1,2,47037,4,group2,669-61-5483
79,Rolph,Hoffman,true,race3,county1,5,91236,6,group3,852-83-2966
80,Geralda,Hawkins,false,race1,county2,1,206919,5,group3,613-77-3715
81,Phedra,Hoffman,,race3,county1,1,58010,9,group2,748-65-5254
82,Claudio,Owen,true,race1,county3,3,186372,7,group3,354-02-4531
83,Jobey,Ward,true,race3,county1,2,53732,6,group3,474-42-5392
84,Christen,Elliott,true,race2,county2,0,231374,6,group1,134-03-5340
85,Dulsea,Pollard,true,,county1,4,86989,6,group1,
86,Bianka,Waters,true,race2,,2,161765,9,group3,662-01-2081
87,Arlette,Hoffman,false,,county1,0,12550,3,group3,
88,Chrysa,Hawkins,,,county4,2,142714,1,group1,
89,Sylvester,Cannon,false,race3,county1,1,104382,10,group2,410-49-8422
90,Darryl,Waters,true,race2,county4,0,265020,1,group2,170-02-1048
91,Mozes,Cervantes,true,race2,county4,3,221623,9,group2,538-06-8227
92,Georgi,Scott,,race1,county3,2,278281,2,group1,147-11-4970
93,Thaddeus,Waters,true,race1,,5,196806,4,group3,643-75-6824
94,Annecorinne,Hoffman,false,race2,county4,1,10648,8,group1,137-01-0061
95,Tanitansy,Pollard,true,race2,county2,0,54932,3,group3,149-66-6742
96,Bobbee,Quinn,false,race3,county1,4,226732,10,group1,278-77-8773
97,Ofella,Watson,true,race3,county1,5,264752,7,group2,707-66-2066
98,Miof mela,Lawson,true,race3,county1,5,299943,3,group1,285-60-2284
99,Kori,Hale,false,race1,county4,1,132688,2,group2,720-59-7183
100,Kort,Brooks,true,race2,county2,0,125092,7,group2,616-17-2191
101,Lana,Hoffman,false,race3,county1,0,209847,2,group1,134-60-4679
102,Case,Frank,true,race1,county4,0,23362,5,group1,480-54-5874
103,Guenna,Elliott,false,race2,county2,2,192333,4,group3,343-68-5148
104,Bernhard,Frank,false,race2,county3,2,154020,1,group3,262-20-8363
105,Gustavus,Brooks,false,race2,county2,1,272108,6,group3,832-24-8497
106,Harper,Hoffman,true,race1,county1,4,185558,1,group3,735-49-2740
107,Jard,Le,false,race3,county3,0,249030,5,group2,754-50-9261
108,Dulcinea,Hoffman,true,race3,county1,5,138108,2,group1,624-88-5242
109,Erminie,Pollard,false,race2,county4,2,36109,1,group3,468-66-6515
110,Reta,Brooks,false,race2,county1,4,204334,0,group2,431-23-9012
111,Derk,Pollard,,race1,county2,3,205900,9,group3,690-08-6375
112,Danny,Owen,false,race2,county4,3,192298,3,group3,637-20-8677
113,Daphna,Wilkerson,false,race1,county3,1,144744,7,group3,643-91-8355
114,Rolando,Casey,true,race1,county1,1,135576,2,group3,645-73-0750
115,Hannis,Hoffman,false,race3,county1,4,174045,2,group3,504-06-8105
116,Mirabelle,Ward,,race3,county1,4,157543,1,group2,579-72-0687
117,Mellisa,Quinn,false,race3,county1,0,114331,2,group3,893-77-2293
118,Jeremiah,Scott,true,race3,county1,2,276287,2,group2,553-93-2140
119,Michele,Elliott,false,,county2,4,107465,3,group3,
120,Abey,Elliott,,race2,county4,0,68008,6,group1,334-51-2279
121,Etienne,Quinn,true,,county2,2,34931,8,group2,
122,Brooke,Quinn,true,race3,county1,5,122251,2,group2,299-58-3182
123,Moyra,Hoffman,true,race1,county2,4,99683,4,group1,260-63-6309
124,Angelica,Brooks,false,race1,county4,5,52387,6,group2,745-27-1782
125,Pier,Hale,,race1,county2,0,17039,5,group3,434-03-3411
126,Suzann,Owen,false,race3,county1,5,264643,5,group1,760-53-5577
127,Birk,Lawson,true,race2,county1,2,202520,2,group2,431-82-3940
128,Waldemar,Elliott,true,race3,county1,1,195817,3,group3,575-91-8880
129,Logan,Le,false,race1,county2,5,250357,7,group3,783-27-5009
130,Collette,Ward,true,race2,county3,4,92172,6,group1,637-39-5577
131,Karol,Le,false,,county1,2,279231,4,group3,685-25-6885
132,Aigneis,Le,false,race3,county1,4,184128,5,group1,812-29-1519
133,Clayton,Watson,true,race3,county1,2,266854,1,group2,487-99-6096
134,Avivah,Hoffman,true,race3,county1,4,48583,10,group1,410-20-0904
135,Fransisco,Owen,true,race2,county3,0,270403,5,group1,518-88-6810
136,Dewey,Waters,false,race3,county1,0,191678,10,group2,508-51-0150
137,Lilah,Casey,false,race1,county4,2,155143,4,group2,473-81-2227
138,Eustace,Waters,true,race1,,3,241597,6,group2,504-26-3246
139,Cristie,Hoffman,true,race1,county1,3,269613,7,group1,369-09-7256
140,Hartley,Pollard,,,county1,2,292314,1,group1,534-49-5426
141,Shelley,Pollard,,race1,county2,0,117658,5,group1,436-84-2786
142,Bastian,Lawson,true,race3,county1,5,87256,2,group3,411-52-8284
143,Ashla,Hawkins,true,race1,county4,1,214306,9,group1,770-24-7205
144,Aloin,Brooks,false,race2,county4,1,173951,0,group1,658-81-4532
145,Ebenezer,Frank,false,race2,,3,276236,10,group1,855-81-1367
146,Nikita,Le,true,race3,county2,0,214182,7,group3,869-89-1533
147,Bridgette,Owen,false,race2,county3,0,85722,2,group3,256-81-9768
148,Dallis,Lawson,false,,county2,1,264188,2,group1,
149,Hendrika,Frank,true,,county1,0,223175,6,group3,
150,Osmond,Pollard,true,race3,county1,3,217651,6,group1,514-71-9465
151,Gweneth,Hawkins,true,race2,county3,4,113396,0,group1,640-35-8596
152,Diann,Ward,true,race3,county3,4,270658,5,group3,437-61-0453
153,Barbey,Hale,true,race3,county1,3,297407,0,group1,318-67-1035
154,Austin,Lawson,true,race3,county1,4,92367,9,group2,280-89-4953
155,Alwyn,Cannon,true,race2,county4,0,252657,9,group3,698-58-5676
156,Jose,Frank,true,race3,county1,4,176090,2,group3,653-48-9285
157,Krissy,Owen,true,race3,county1,4,66496,5,group2,796-64-3971
158,Boote,Owen,true,race2,county3,5,113087,10,group2,242-02-2149
159,Bette,Wilkerson,false,race1,county2,5,236118,9,group3,430-23-4683
160,Zsa zsa,Ward,false,,county3,2,181188,3,group3,
161,Marita,Owen,true,race2,county3,3,141656,8,group1,553-47-3021
162,Lelah,Hawkins,false,,county1,5,19821,5,group1,244-40-0076
163,Jaine,Cannon,false,,county3,3,89173,8,group3,
164,Gaultiero,Watson,true,race3,county1,0,57767,8,group3,821-04-8712
165,Reba,Wilkerson,true,race2,county4,5,223432,6,group2,846-32-8232
166,Jehanna,Pollard,false,race1,county1,0,84732,9,group2,399-06-9129
167,Ashby,Frank,true,race1,county3,0,20853,7,group1,131-05-8686
168,Barth,Frank,false,race2,county2,4,139352,0,group3,333-58-2424
169,Hewett,Wilkerson,true,race2,county4,1,12230,1,group3,836-85-4425
170,Judie,Elliott,true,race2,county1,2,214902,9,group3,232-58-7089
171,Domenic,Waters,true,race3,county1,1,148274,2,group1,842-52-5243
172,Claudius,Hale,false,race3,county1,4,66313,8,group2,447-87-3829
173,Loralyn,Frank,true,,county2,5,226749,5,group1,161-54-4147
174,Wileen,Brooks,,race3,county1,5,12595,1,group1,463-37-3926
175,Donal,Frank,true,race3,county1,1,42760,4,group2,580-84-5748
176,Tommy,Cervantes,true,race1,county3,5,266442,0,group1,889-24-4360
177,Cariotta,Scott,false,race1,county1,5,245033,8,group3,597-44-1545
178,Jedd,Cannon,false,race2,county3,3,135277,6,group2,895-02-7134
179,Eward,Elliott,true,race3,county1,2,64265,5,group3,643-38-7349
180,Kahaleel,Cannon,true,race3,county1,2,262781,4,group2,787-12-3355
181,Babita,Hawkins,true,race2,county2,1,250894,9,group2,330-16-8306
182,Ciel,Elliott,false,race3,county1,5,217261,0,group2,174-61-5962
183,Filmer,Frank,true,race2,county2,1,118563,4,group1,118-79-4889
184,Merridie,Cannon,true,race3,county1,5,244410,4,group1,111-36-3211
185,Gib,Le,true,race3,county1,5,164797,9,group3,884-71-0005
186,Forbes,Elliott,true,race1,,2,43245,7,group3,859-41-3100
187,Lori,Scott,false,race2,county2,1,35256,1,group1,304-71-7254
188,Jacenta,Wilkerson,true,race3,county1,3,283939,0,group3,661-98-9297
189,Rockwell,Scott,false,race2,county3,5,155004,6,group2,165-36-6289
190,Cody,Casey,true,race2,county4,0,157134,3,group3,859-62-0015
191,Joellyn,Hoffman,false,race1,county2,1,179776,4,group1,435-15-6699
192,Carrol,Pollard,false,race3,county1,4,276814,7,group3,153-98-5009
193,Abbi,Cannon,false,race1,county3,2,77998,3,group1,813-65-2927
194,Stanley,Hawkins,true,race3,county1,0,278954,6,group1,436-43-3042
195,Kevon,Frank,true,,county1,4,269164,1,group2,116-81-4203
196,Rogers,Pollard,true,race2,county3,0,194362,9,group3,519-05-8171
197,Fayina,Quinn,false,race2,county3,1,88608,1,group2,172-20-8194
198,Kimberley,Hoffman,false,race3,county1,2,228873,0,group3,267-54-5300
199,Mari,Cannon,true,race2,,2,294125,8,group1,701-52-0072
200,Harris,Ward,true,race3,county1,4,154387,7,group1,478-46-2995
201,Corrie,Owen,false,race2,county4,1,180658,0,group1,152-44-7696
202,Fairleigh,Pollard,false,race1,county1,1,69791,10,group2,567-11-4541
203,Toiboid,Casey,true,race2,county3,5,27423,2,group1,846-82-6631
204,Erinna,Hawkins,true,race2,county3,5,216500,0,group2,288-74-3813
205,Michal,Quinn,true,race1,county3,1,104198,10,group2,288-80-9492
206,Geno,Lawson,false,,county1,4,234607,10,group3,800-35-7401
207,Christy,Owen,,race2,county4,5,151269,2,group3,377-95-4973
208,Lou,Elliott,true,race3,,1,229696,2,group3,232-69-0363
209,Lexi,Elliott,false,race2,county4,3,140531,7,group3,492-51-3515
210,Nelli,Frank,true,race2,county4,4,37148,10,group2,533-38-0422
211,Ginevra,Hale,true,race2,county4,3,167495,6,group3,460-31-4556
212,Winn,Hawkins,false,race1,county1,3,125350,9,group3,103-90-2868
213,Wallace,Quinn,true,race1,county2,2,192317,9,group1,892-30-9471
214,Corabelle,Cervantes,false,race2,county4,0,26809,0,group2,663-11-6955
215,Zane,Kirk,false,race1,county2,5,131022,7,group3,634-62-0249
216,Romona,Elliott,false,,county3,1,75177,5,group3,
217,Ceciley,Lawson,,race2,county4,3,249057,2,group3,141-50-6898
218,Morey,Hawkins,false,race2,county3,3,111112,3,group3,667-70-8678
219,Deeann,Scott,true,race1,county4,3,152347,10,group1,432-15-0311
220,Dar,Elliott,true,race1,county1,4,265593,5,group1,260-12-4687
221,Wells,Frank,false,race2,county3,1,108572,6,group3,858-30-9285
222,Winifield,Owen,false,,,3,34031,7,group1,209-78-6511
223,Krishnah,Hoffman,false,race2,county2,4,268258,2,group2,741-08-9412
224,Ina,Hale,true,race2,county4,4,223863,10,group3,146-17-3977
225,Niccolo,Cervantes,true,race1,county1,2,37862,1,group3,774-82-5332
226,Jourdan,Waters,true,race2,county3,5,44716,4,group2,440-05-3561
227,Julieta,Ward,true,race3,county1,1,195228,9,group2,705-32-3052
228,Isac,Hoffman,true,race3,county1,3,263951,10,group3,748-44-2974
229,Kip,Quinn,true,race3,county1,5,152629,4,group3,780-41-8774
230,Sheree,Hawkins,true,race1,county2,0,224567,7,group3,809-88-9256
231,Ronnie,Le,false,race1,county3,5,130799,1,group2,293-74-4155
232,Kyla,Lawson,true,race2,county4,4,140873,1,group3,882-26-5669
233,Effie,Ward,true,race2,county2,1,232944,3,group3,402-15-3079
234,Barri,Hawkins,false,race3,county1,3,228078,9,group1,795-46-9641
235,Sibeal,Waters,false,race3,county1,5,216193,7,group3,360-27-0517
236,Rafa,Le,true,race3,county1,1,135973,6,group2,635-23-6522
237,Land,Cervantes,true,race3,county1,1,191778,9,group3,363-90-2086
238,Corena,Hawkins,false,race2,county1,1,79711,9,group2,512-82-3446
239,Faulkner,Cervantes,false,race3,,5,291993,5,group2,130-87-0545
240,Freda,Lawson,true,race3,county1,3,169760,0,group2,641-45-9000
241,Dale,Brooks,true,race2,county2,1,267232,9,group1,590-15-8561
242,Ania,Ward,false,race1,county3,0,153457,6,group2,444-03-4269
243,Lissi,Elliott,false,race2,county3,0,292252,0,group3,835-82-6903
244,Joyce,Watson,false,race1,county3,0,183886,5,group1,358-57-6222
245,Reeta,Lawson,,race2,county3,1,145221,8,group2,859-89-4049
246,Marty,Ward,true,race2,county4,2,15779,1,group2,194-81-1446
247,Jennie,Le,true,race1,county4,5,153230,5,group2,406-81-7478
248,Arv,Quinn,false,race2,county4,4,233020,9,group1,551-14-9751
249,Haily,Cannon,true,race1,county1,4,117088,5,group1,774-12-4116
250,Yankee,Brooks,false,race1,county2,5,236017,7,group2,820-61-5760
251,Bobby,Quinn,false,race3,county1,3,154830,10,group2,698-81-8980
252,Wat,Lawson,true,race2,county2,3,85994,5,group3,537-19-1461
253,Dillon,Hale,true,race3,county1,4,225479,3,group3,231-25-6381
254,Addison,Casey,true,race2,county4,0,297327,7,group2,814-60-6506
255,Aubrette,Watson,false,race2,county3,4,133028,5,group3,575-18-8100
256,Saidee,Watson,true,race3,county1,2,152033,5,group2,832-24-1445
257,Garner,Wilkerson,false,race3,county1,5,153826,6,group3,504-56-5177
258,Artur,Watson,false,race2,county4,2,181134,6,group2,270-61-7835
259,Salim,Hawkins,true,race3,county1,0,43698,6,group2,685-29-5509
260,Livy,Hale,false,,county3,5,84792,4,group1,
261,Evangeline,Cervantes,true,race3,county1,0,60658,7,group3,705-99-3976
262,Welsh,Ward,true,race2,county3,0,217715,2,group2,572-98-6948
263,Natale,Casey,true,race1,county3,1,41561,0,group1,840-43-3321
264,Keelia,Lawson,false,,county4,4,22636,0,group3,
265,Buckie,Cannon,false,race1,county4,4,131854,3,group1,609-75-9262
266,Tiertza,Waters,false,race3,county1,0,40510,7,group1,531-48-2590
267,Madelon,Waters,false,race3,county1,3,164699,0,group2,734-94-5179
268,Oates,Hale,true,race2,county3,1,72099,0,group3,862-61-3630
269,Ailyn,Owen,false,,county1,1,180287,4,group2,564-87-9551
270,Morganica,Owen,true,race2,county3,0,70163,6,group2,321-45-9556
271,Pepe,Hale,false,race2,county2,3,53100,10,group2,839-23-5111
272,Elliott,Le,,race3,county1,1,176880,2,group1,325-23-0864
273,Hyacintha,Casey,false,race3,county1,2,269516,7,group3,597-62-3680
274,Sharia,Ward,true,race2,county1,1,272640,10,group2,342-40-5709
275,Myer,Hale,false,race2,county2,4,222459,4,group1,836-68-0546
276,Adan,Hoffman,true,race1,county2,3,85891,2,group3,187-79-5547
277,Demott,Le,,race3,county1,5,166362,9,group2,711-57-2916
278,Mirilla,Waters,false,race2,county4,1,60800,1,group1,199-26-6065
279,Marilee,Pollard,true,race3,county1,4,64729,2,group2,484-72-9069
280,Fabe,Ward,false,race3,county1,0,183860,7,group1,756-58-8266
281,Merrili,Lawson,true,race2,county1,3,36467,9,group3,693-33-5373
282,Oralie,Hoffman,,race1,county1,0,172962,9,group2,449-35-0545
283,Liza,Le,false,race1,county4,5,260469,3,group3,878-45-2691
284,Domingo,Pollard,false,race3,county1,3,156865,10,group3,358-37-3776
285,Gaynor,Cannon,false,race1,county1,5,191472,8,group2,306-81-4856
286,Lynna,Owen,true,race3,county1,3,182627,4,group1,783-68-1500
287,Maryann,Pollard,false,race1,county2,5,289161,4,group1,711-77-1510
288,Sax,Lawson,false,race3,county1,0,269644,0,group1,569-75-7034
289,Shea,Ward,true,race3,county1,3,184492,4,group3,835-87-2017
290,Sherry,Brooks,true,race1,county4,4,100181,5,group2,452-05-9727
291,Kirby,Hale,true,race2,county4,0,169403,9,group1,141-92-8234
292,Melessa,Owen,true,race2,county4,2,21848,1,group3,307-51-4844
293,Gavin,Hoffman,true,race1,county4,5,18134,0,group2,276-79-8467
294,Marylinda,Lawson,false,race2,county3,1,214656,5,group3,783-04-2063
295,Pearle,Pollard,true,race3,county1,1,201465,2,group3,108-64-0826
296,Demetra,Quinn,true,race3,county1,4,68136,9,group1,511-53-3765
297,Bernard,Quinn,true,race3,county1,0,225407,10,group1,219-47-6706
298,Erinn,Scott,false,race2,county2,0,86431,6,group3,116-36-5553
299,Bary,Elliott,false,race1,county4,3,270276,1,group2,717-43-7969
300,Marris,Casey,true,race1,county4,2,93980,7,group1,200-99-2666
301,Virgilio,Owen,true,race2,county2,3,144227,3,group3,370-24-3352
302,Gustie,Quinn,,race2,county3,2,126852,10,group2,302-08-7137
303,Grier,Ward,true,race2,county2,4,274649,10,group3,340-86-8150
304,Hamilton,Owen,false,race3,,1,254516,2,group2,201-19-0088
305,Roxie,Pollard,true,,county4,2,237004,8,group2,
306,Colette,Watson,false,,county3,3,117050,3,group3,
307,Fabio,Lawson,false,race3,county1,5,53782,0,group3,259-31-4868
308,Lamont,Brooks,false,race3,county1,0,154361,6,group3,343-13-2101
309,Fidel,Wilkerson,true,race2,county3,3,65410,7,group3,683-87-6775
310,Lainey,Scott,true,race1,county1,5,252745,10,group1,366-53-7902
311,Albert,Owen,false,race3,county1,5,227051,7,group3,300-06-1842
312,Bryn,Lawson,,race3,county1,5,182162,2,group2,495-28-0602
313,Harri,Ward,true,race3,county1,1,169777,1,group3,387-43-0014
314,Brit,Hale,true,race2,county2,3,233190,10,group3,800-51-2866
315,Isidora,Hawkins,true,race2,county3,1,131367,10,group2,863-06-0947
316,Sholom,Hawkins,,race2,county1,5,160753,1,group1,273-15-0090
317,Lauren,Hale,true,race3,county1,1,37599,2,group2,620-81-1847
318,Betti,Casey,false,,county2,4,49085,1,group3,
319,Inessa,Elliott,true,race1,county3,1,285718,4,group1,205-28-3378
320,Dave,Quinn,false,,county2,4,296895,8,group2,
321,Beaufort,Elliott,true,,county4,5,168185,6,group2,
322,Curcio,Cervantes,,race1,county4,0,299081,3,group1,119-20-0672
323,Bianca,Watson,true,race1,county2,2,221280,4,group1,724-69-7447
324,Mariele,Brooks,false,race2,county3,2,71721,10,group3,422-51-8295
325,Roma,Elliott,false,race2,county4,0,228196,5,group1,824-12-6895
326,Blanca,Quinn,,,county4,3,270516,1,group2,
327,Orelia,Scott,true,race1,county3,1,267911,8,group1,208-41-3505
328,Kerk,Le,false,race2,county4,3,226168,4,group3,474-25-9013
329,Sheelagh,Brooks,false,race1,county1,2,246710,10,group2,700-06-9100
330,Ursulina,Kirk,false,race2,county2,2,181952,7,group2,496-72-9478
331,Katy,Wilkerson,true,race1,county1,0,69558,10,group2,581-66-6052
332,Bettye,Watson,true,,county1,0,97183,10,group2,743-50-8973
333,Conrado,Pollard,false,,county1,2,153586,4,group2,642-52-5849
334,Clayborne,Waters,true,race3,county1,0,109032,10,group1,563-59-7445
335,Adara,Cannon,false,race2,county3,3,17273,4,group1,769-59-5091
336,Charlene,Scott,false,race1,county1,4,44515,4,group3,713-85-6933
337,Gustavus,Frank,true,race2,county2,5,25155,6,group3,573-46-3739
338,Theodore,Cervantes,true,race1,county2,3,86976,6,group2,409-43-9870
339,Revkah,Cervantes,false,race1,county2,0,22894,9,group2,438-22-6453
340,Meg,Quinn,true,race3,county1,2,131060,1,group3,602-96-2422
341,Malinda,Cervantes,false,race1,county3,2,174997,6,group3,716-38-3438
342,Heida,Brooks,true,race1,county3,3,20243,2,group3,204-48-0959
343,Liuka,Waters,false,race3,county1,3,126241,10,group1,169-81-3482
344,Susan,Le,false,race1,county2,2,86146,8,group1,705-64-2779
345,Gardener,Owen,false,race3,county1,1,74392,0,group1,655-68-4611
346,Griff,Owen,true,race2,county4,5,153217,6,group2,638-63-8221
347,Ebony,Watson,false,race3,county1,4,266239,0,group2,503-91-5482
348,Gayle,Cannon,false,race1,county4,0,30825,10,group3,637-69-3206
349,Lon,Waters,true,race1,county1,3,219684,4,group1,759-50-8379
350,Pren,Cervantes,false,race1,county4,2,146099,1,group1,215-70-0554
351,Andy,Hale,false,race1,county1,1,147344,5,group2,291-33-8161
352,Glenine,Ward,true,race1,county2,0,222055,10,group1,654-74-6772
353,Eugenia,Le,false,,county2,5,299204,7,group2,
354,Cherry,Frank,true,race3,county1,5,165997,1,group2,754-30-4538
355,Byrom,Hawkins,true,race2,county2,4,20084,6,group2,556-87-8920
356,Davon,Quinn,true,race1,county2,4,174346,6,group3,307-57-4988
357,Glynn,Scott,false,race2,,5,90575,0,group3,551-78-5503
358,Doralia,Pollard,false,race3,,1,251965,4,group3,634-46-6685
359,Sallie,Scott,false,race3,county1,4,235095,8,group1,641-74-0190
360,Andris,Waters,false,race2,county2,2,184416,6,group3,632-92-0569
361,Christen,Quinn,true,,county4,0,169687,8,group1,
362,Margie,Waters,true,race3,,3,60354,0,group2,172-52-9844
363,Bronson,Cervantes,false,,county3,0,270614,6,group3,
364,Malissia,Le,true,race2,county2,3,64743,8,group3,726-99-2269
365,Gwyn,Kirk,,race1,county2,0,139946,3,group1,131-06-2659
366,Alessandro,Cervantes,false,race2,county3,1,97416,9,group3,456-65-1732
367,Fabio,Quinn,false,race1,county1,0,17546,8,group2,257-59-4193
368,Kristopher,Hoffman,,,county3,5,136507,4,group2,
369,Stanford,Ward,false,,county4,2,39317,4,group1,
370,Karlee,Owen,false,race3,county1,2,11443,5,group1,729-80-8870
371,Sofia,Waters,true,race1,county1,1,99239,4,group3,250-14-5665
372,Nicoline,Waters,true,race2,county2,3,165827,8,group3,395-69-6827
373,Muriel,Scott,false,race1,,1,194769,5,group3,215-47-5981
374,Jemmy,Hoffman,false,race3,county1,1,196806,8,group1,115-97-6843
375,Ketti,Waters,,,county1,2,59589,7,group1,
376,Tootsie,Waters,true,race1,,4,270655,10,group1,163-77-4830
377,Darline,Lawson,true,race3,county1,5,13564,0,group3,488-54-8831
378,Morganne,Frank,false,race2,county4,3,189569,10,group2,613-21-1845
379,Mirabella,Le,true,race3,county1,1,91379,4,group2,560-33-8897
380,Stevana,Lawson,false,race3,,3,238505,1,group1,653-57-6487
381,Barnabe,Hawkins,true,race1,county3,5,145290,1,group2,484-88-9574
382,Bonnibelle,Hale,true,race2,county4,4,116624,8,group2,498-64-8430
383,Rhody,Brooks,false,race3,county1,4,80406,3,group1,347-09-5810
384,Thornie,Hawkins,false,race1,county2,2,207122,8,group3,363-51-7041
385,Robinetta,Brooks,false,race1,county1,1,260352,9,group2,439-22-4879
386,Lulita,Cervantes,false,race3,county1,3,101067,4,group3,884-09-2523
387,Martin,Cannon,false,race1,county4,5,217925,9,group1,749-19-7809
388,Jerome,Le,false,race3,county1,5,295545,5,group1,365-92-1941
389,Conn,Brooks,false,race3,county1,4,35449,2,group1,238-67-4589
