smoker,complications,ssn
?,7,127-21-6271
?,1,836-09-2857
True,3,723-21-9743
False,0,772-58-2534
True,10,439-48-1668
False,1,771-10-1125
True,3,207-47-9408
False,7,542-43-6786
False,4,353-26-1785
True,10,371-57-9465
False,9,326-97-9703
True,4,474-35-2656
True,7,115-74-0945
True,5,502-03-3482
True,4,115-74-5428
False,7,648-88-7046
True,1,287-05-0191
False,8,825-90-2255
False,2,616-32-2200
False,2,800-45-2785
True,8,742-52-7689
False,10,690-37-3363
False,4,614-31-1377
False,5,794-82-8102
False,4,522-15-1256
True,1,765-19-4928
True,0,483-89-2692
?,1,209-47-5394
True,4,463-93-7859
False,10,107-86-7199
True,0,496-96-7125
True,3,436-79-1942
?,1,544-44-2318
?,1,650-39-0249
False,2,276-65-2873
False,4,108-72-2140
True,6,521-35-7139
False,3,397-63-7041
False,0,243-72-5139
True,1,497-01-3279
True,3,281-64-4856
?,10,799-19-6433
False,1,380-57-0205
False,8,671-53-5993
True,1,271-66-0029
True,7,867-04-0663
False,0,197-77-0443
?,0,621-65-2528
True,2,381-79-1903
False,8,294-16-1605
True,4,807-39-6505
False,3,511-73-4993
True,5,385-99-9732
